Brand,Model,RAM_GB,Storage_GB,Age_Months,Condition,Resale_Price
Apple,iPhone 17 Pro Max,12,256,1,Flawless,160021
Apple,iPhone 17 Pro Max,12,256,1,Minor Scratches,136468
Apple,iPhone 17 Pro Max,12,256,1,Cracked Screen,73659
Apple,iPhone 17 Pro Max,12,256,3,Flawless,154419
Apple,iPhone 17 Pro Max,12,256,3,Minor Scratches,131706
Apple,iPhone 17 Pro Max,12,256,3,Cracked Screen,71138
Apple,iPhone 17 Pro Max,12,256,6,Flawless,146389
Apple,iPhone 17 Pro Max,12,256,6,Minor Scratches,124881
Apple,iPhone 17 Pro Max,12,256,6,Cracked Screen,67525
Apple,iPhone 17 Pro Max,12,256,9,Flawless,138785
Apple,iPhone 17 Pro Max,12,256,9,Minor Scratches,118417
Apple,iPhone 17 Pro Max,12,256,9,Cracked Screen,64103
Apple,iPhone 17 Pro Max,12,256,12,Flawless,131583
Apple,iPhone 17 Pro Max,12,256,12,Minor Scratches,112296
Apple,iPhone 17 Pro Max,12,256,12,Cracked Screen,60862
Apple,iPhone 17 Pro Max,12,256,18,Flawless,118306
Apple,iPhone 17 Pro Max,12,256,18,Minor Scratches,101010
Apple,iPhone 17 Pro Max,12,256,18,Cracked Screen,54888
Apple,iPhone 17 Pro Max,12,256,24,Flawless,106400
Apple,iPhone 17 Pro Max,12,256,24,Minor Scratches,90890
Apple,iPhone 17 Pro Max,12,256,24,Cracked Screen,49530
Apple,iPhone 17 Pro Max,12,256,30,Flawless,95724
Apple,iPhone 17 Pro Max,12,256,30,Minor Scratches,81815
Apple,iPhone 17 Pro Max,12,256,30,Cracked Screen,44725
Apple,iPhone 17 Pro Max,12,256,36,Flawless,86149
Apple,iPhone 17 Pro Max,12,256,36,Minor Scratches,73677
Apple,iPhone 17 Pro Max,12,256,36,Cracked Screen,40417
Apple,iPhone 17 Pro Max,12,256,42,Flawless,77564
Apple,iPhone 17 Pro Max,12,256,42,Minor Scratches,66379
Apple,iPhone 17 Pro Max,12,256,42,Cracked Screen,36553
Apple,iPhone 17 Pro Max,12,256,48,Flawless,69865
Apple,iPhone 17 Pro Max,12,256,48,Minor Scratches,59835
Apple,iPhone 17 Pro Max,12,256,48,Cracked Screen,33089
Apple,iPhone 17 Pro Max,12,512,1,Flawless,160021
Apple,iPhone 17 Pro Max,12,512,1,Minor Scratches,136468
Apple,iPhone 17 Pro Max,12,512,1,Cracked Screen,73659
Apple,iPhone 17 Pro Max,12,512,3,Flawless,154419
Apple,iPhone 17 Pro Max,12,512,3,Minor Scratches,131706
Apple,iPhone 17 Pro Max,12,512,3,Cracked Screen,71138
Apple,iPhone 17 Pro Max,12,512,6,Flawless,146389
Apple,iPhone 17 Pro Max,12,512,6,Minor Scratches,124881
Apple,iPhone 17 Pro Max,12,512,6,Cracked Screen,67525
Apple,iPhone 17 Pro Max,12,512,9,Flawless,138785
Apple,iPhone 17 Pro Max,12,512,9,Minor Scratches,118417
Apple,iPhone 17 Pro Max,12,512,9,Cracked Screen,64103
Apple,iPhone 17 Pro Max,12,512,12,Flawless,131583
Apple,iPhone 17 Pro Max,12,512,12,Minor Scratches,112296
Apple,iPhone 17 Pro Max,12,512,12,Cracked Screen,60862
Apple,iPhone 17 Pro Max,12,512,18,Flawless,118306
Apple,iPhone 17 Pro Max,12,512,18,Minor Scratches,101010
Apple,iPhone 17 Pro Max,12,512,18,Cracked Screen,54888
Apple,iPhone 17 Pro Max,12,512,24,Flawless,106400
Apple,iPhone 17 Pro Max,12,512,24,Minor Scratches,90890
Apple,iPhone 17 Pro Max,12,512,24,Cracked Screen,49530
Apple,iPhone 17 Pro Max,12,512,30,Flawless,95724
Apple,iPhone 17 Pro Max,12,512,30,Minor Scratches,81815
Apple,iPhone 17 Pro Max,12,512,30,Cracked Screen,44725
Apple,iPhone 17 Pro Max,12,512,36,Flawless,86149
Apple,iPhone 17 Pro Max,12,512,36,Minor Scratches,73677
Apple,iPhone 17 Pro Max,12,512,36,Cracked Screen,40417
Apple,iPhone 17 Pro Max,12,512,42,Flawless,77564
Apple,iPhone 17 Pro Max,12,512,42,Minor Scratches,66379
Apple,iPhone 17 Pro Max,12,512,42,Cracked Screen,36553
